feature,importance
gsector,9.200129727976618
trade_weighted_usd,8.000149800626772
sue_ibes,6.562613738867098
beat_miss_streak,5.5650333110742904
sp500_member_lag1,5.122125626817079
ffi30,4.814143611190326
pe_op_basic,3.175339340385688
realized_vol,2.6716808377754178
realized_vol_lag1,2.0143357982374086
realized_vol_lag3,1.8095133867733655
idio_vol,1.7562096092065924
turnover_6m,1.7509611541733712
vol_3m,1.5384405962297873
vol_6m,1.5170164421228467
aftret_invcapx,1.4906069511418738
ps,1.4863695436473687
beta_cma,1.4796497704084688
fcf_ocf,1.4425404966904034
accruals_to_cash_flow,1.4320622605441637
eps_dispersion,1.4205309498761634
rect_turn,1.3758531166962915
rd_intensity,1.367653693284384
piotroski_f_score,1.353465434239863
invt_act,1.339444218524834
sue,1.2953939078234122
capex_intensity,1.27068917328105
sale_equity,1.2189036424637185
fcf_to_revenue,1.2079030187616717
pay_turn,1.1678374209411067
roce,1.1677495334896695
sale_nwc,1.1666118205194222
num_analysts_fy1,1.1078583332265892
cash_ratio,1.097779504362959
log_market_cap_lag3,1.0479597602288684
inst_ownership_change,1.0233180948416556
insider_num_sells,1.0095238315954325
intcov_ratio,1.0091730354378927
pretret_noa,0.9930055948630677
gross_margin_vol,0.9862490343815763
debt_assets,0.9718219364095049
roe_vs_industry,0.9655109608095716
gprof,0.9510094996507075
revenue_share,0.9373386278913027
insider_num_buys,0.9330932934892224
earnings_smoothness,0.929001112817808
inst_hhi,0.9101648618042024
int_totdebt,0.8967221136360524
log_market_cap,0.8832309842661799
cash_debt,0.8573542345051983
aftret_equity,0.7807245391862219
roa_vs_industry,0.7788045507680986
total_inst_shares,0.7552135113316724
npm_vs_industry,0.6950011792139211
opmad,0.6585920660701878
num_institutions,0.6405914054215811
