feature,importance
gsector,8.650837902281381
beat_miss_streak,5.598030811332435
sue_ibes,5.136508884808022
pe_op_basic,2.975448243083045
inst_breadth,2.6904938095307567
realized_vol,2.559232073966553
insider_ceo_buy,2.544893814050903
mom_6m,2.3324265563448874
idio_vol,2.257368277230092
mom_12_2,2.201757956163742
insider_cluster_buy,2.14063481699155
rd_intensity,1.8215002762049786
mom_1m,1.7562375512673836
fcf_to_revenue,1.7065392075142243
peg_ltgforward,1.6987832004440029
peg_1yrforward,1.601821563105419
turnover,1.4991743381506657
eps_revision_1m,1.4068030174239012
bm,1.3509888462937454
revision_breadth,1.33794865574541
altman_z_score,1.3018300595094332
net_debt_to_ebitda,1.2911780873372503
sue,1.2897804914514546
accrual,1.2184726758863704
piotroski_f_score,1.2175155232081358
eps_dispersion_trend,1.1923233474377464
revenue_growth_yoy,1.1802319040627407
inst_hhi,1.159623675150786
inst_ownership_change,1.1442095655084001
revenue_cagr_2yr,1.1375932536610602
fcf_to_revenue_trend,1.091660258767205
analyst_dispersion,1.091191727778237
dsri,1.0698887756830096
analyst_revision,1.06248186571794
revenue_acceleration,1.0574106504252927
insider_buy_ratio,1.0561260601608506
debt_to_equity_change,1.0540475881084803
capex_to_depreciation,1.0533358763895277
eps_revision_3m,1.0391085949234664
cash_conversion_cycle,1.0060072541881693
non_current_accruals,0.9917899775549917
earnings_smoothness,0.9870236054621107
num_analysts_fy1,0.9840377428450167
net_operating_assets,0.9778998150960245
gross_margin_vol,0.9728660012313488
beneish_sgi,0.9708992151408449
montier_c_score,0.9675629166016535
cf_earnings_divergence,0.9205778471575897
total_inst_shares,0.9203709562600523
num_institutions,0.9153594448889532
net_margin_trend,0.9067778690832748
ccc_trend,0.8830781930581532
margin_divergence,0.8798751695007152
insider_num_sells,0.8739525398385734
operating_margin_trend,0.8546045702417986
log_market_cap,0.8467126605590994
interest_coverage_trend,0.844300010657131
debt_maturity_risk,0.8322160405972671
operating_leverage,0.8163452598407785
working_capital_accruals,0.7956328715592706
beneish_aqi,0.7911219944738955
capex_intensity,0.7901582550765349
beneish_gmi,0.7897263518658132
earnings_persistence,0.7348328501610356
accruals_to_cash_flow,0.7098774467738738
insider_buy_ratio_6m,0.699111877804716
gross_margin_trend,0.6910074672167668
beneish_m_score,0.6708340121640639
